address,label_spender,nametag,type,total_tx_count,lifespan_hours,tx_density,mediated_theft_count,direct_in_count,mediated_op_ratio,token_flow_ratio,sender_receiver_ratio,is_ghost,top1_gas_payer_ratio,high_value_ratio
0xab392f3549efd911cfe0e1b330d2d68a33cde1d6,0,,EOA,8,2810.563333,0.002846404,0,4,0,1,1.666666667,0,0,0
0x7633b6c8c04e613de8a37a5241b2c16dbadfa02e,0,,EOA,2,17.01,0.117577895,0,0,0,0,0,0,0.5,0
0xddcc28e6ce0393e22764b2e889777bf3149ef602,0,,EOA,7,2582.166667,0.002710902,0,3,0,1.333333333,1.333333333,0,0,0
0xebdcaabf1ea4d8a9a6b8f81eae4fc907b1be5773,0,,EOA,7,240.92,0.029055288,0,3,0,1.333333333,1,0,0,0
0xc13e21b648a5ee794902342038ff3adab66be987,2,spark: sparklend,CA,39297,18123.17667,2.168328474,0,0,0,0,0,0,0.013436482,0
0x5844c3cc646ac5cd5e1a268f837cb9ef4109807a,1,fake_phishing607877,CA,5,3.696666667,1.352569883,0,0,0,0,0,0,1,0
0x19598abad4394dfe7dff06999421660608875cec,1,fake_phishing994851,CA,1,0,1,0,0,0,0,0,1,0,0
0x13aede1f1a164a4441b23e4e679ac356a86e960d,0,,EOA,8,2548.84,0.003138683,0,4,0,1,1.666666667,0,0,0
0x33d8e666bee3f5d8fce003cf0fd05d7d61ca72cf,1,fake_phishing678772,CA,1,0,1,0,0,0,0,0,1,0,0
0x64dd96540f0ecd157809c2a689217c4dc5209d0b,0,,EOA,3,1204.533333,0.002490591,1,0,1,0,0,0,0.666666667,0
0xef3b2f7d5dae5446721f69b0d7d4541efcb58ee8,1,fake_phishing678990,CA,1,0,1,0,0,0,0,0,1,0,0
0x40a9102fed679be05f705e7ec53222e8ee75ee75,1,fake_phishing638915,CA,1,0,1,0,0,0,0,0,1,0,0
0x17d0955341b02c22244c0d4124b4f9aceb49e402,1,fake_phishing639605,CA,191,28.11333333,6.793929334,0,10,0,2.2,0.909090909,0,0.279569892,0.5
0xa5e3ef114f773c1a6dc6f5336419aa7f3a7a29a9,1,fake_phishing995338,CA,1,0,1,0,0,0,0,0,1,0,0
