txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xf46f79d5b1c3dd08a6d53f296ec284edab39e9023bcc95dd0afbe1df2ed8c5a9,20964854,1728921587,10,0xe2abe1049d3b01911c09b1b0798740e7fe62ed43,0x6a7eff1e2c355ad6eb91bebb5ded49257f3fed98,0x000000732876cec0b7159203d71445311f0a0000,6095.243173117041,OpSec,OPSEC,18,7,150122,51279660755,70261,1090155,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x8d765ae4ac28715e6f34dc5ff0be01fd128b1e8c7e14df3977675ae089027806,20964855,1728921599,91268,0x000000732876cec0b7159203d71445311f0a0000,0x6a7eff1e2c355ad6eb91bebb5ded49257f3fed98,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,1066.6675552954819,OpSec,OPSEC,18,170,363660,47930808204,91504,12983365,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x8d765ae4ac28715e6f34dc5ff0be01fd128b1e8c7e14df3977675ae089027806,20964855,1728921599,91268,0x000000732876cec0b7159203d71445311f0a0000,0x6a7eff1e2c355ad6eb91bebb5ded49257f3fed98,0x527d83bc21b7a18ec3be3e633d23bc1eb3c56a13,5028.575617821559,OpSec,OPSEC,18,170,363660,47930808204,91504,12983365,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xeda30f2d7668c190280bba04dc5300e2972e514308334571bac6da10773cf768,20965354,1728927587,54,0xeabbaef5828e2f63bd8997fa3935bfb3b9758446,0x42069026eac8eee0fd9b5f7adfa4f6e6d69a2b39,0x000000732876cec0b7159203d71445311f0a0000,747.27908669,MSTR2100,MSTR,9,55,81865,31453146163,66026,9455461,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x5adfe89e51e7b5bafa64a0452f66a613d59460a58f67bdb99ce04d31ac8fd799,20965356,1728927611,91286,0x000000732876cec0b7159203d71445311f0a0000,0x42069026eac8eee0fd9b5f7adfa4f6e6d69a2b39,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,149.455817338,MSTR2100,MSTR,9,2,346528,43589144213,102146,196634,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x5adfe89e51e7b5bafa64a0452f66a613d59460a58f67bdb99ce04d31ac8fd799,20965356,1728927611,91286,0x000000732876cec0b7159203d71445311f0a0000,0x42069026eac8eee0fd9b5f7adfa4f6e6d69a2b39,0xed83e5b74b6f4510932f13407a7a0bd77903df94,597.823269352,MSTR2100,MSTR,9,2,346528,43589144213,102146,196634,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x0f2d8deeaaeab482c371a84a70c5a2debc764f8a34cf7ac4e602cc57ed1762b0,20966116,1728936791,4,0x91e01cd1966f626251f874ac124f97575f813b75,0xaddb6dc7e2f7caea67621dd3ca2e8321ade33286,0x000000732876cec0b7159203d71445311f0a0000,123613.76030868886,Sharp AI,SHARP,18,49,70150,25164572705,55939,7825884,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xe784532e1c77fea980830f6eababfc7a892866a8822cad0df0fbc925b9123349,20966118,1728936815,91303,0x000000732876cec0b7159203d71445311f0a0000,0xaddb6dc7e2f7caea67621dd3ca2e8321ade33286,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,21632.408054020554,Sharp AI,SHARP,18,2,374820,35563962120,105072,388361,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe784532e1c77fea980830f6eababfc7a892866a8822cad0df0fbc925b9123349,20966118,1728936815,91303,0x000000732876cec0b7159203d71445311f0a0000,0xaddb6dc7e2f7caea67621dd3ca2e8321ade33286,0x85ca887d53edefe3d19828acd4c1c7dd1eb32046,101981.35225466832,Sharp AI,SHARP,18,2,374820,35563962120,105072,388361,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xdf6a3ea1ad17f5f7577917506627bb6a9cf2f062bb323a370afc17506a83087d,20966616,1728942839,61,0x33c72c262f85e55f81cca23c35e8781fc93f1cca,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,0x000000732876cec0b7159203d71445311f0a0000,988759.620099077,Dione,Dione,9,32,115149,21578556445,94684,6031749,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xed7ac2b8d6052c0c195ba2176042c2b54a1178ba65004cb9654f54dd4926cbbe,20966619,1728942875,91319,0x000000732876cec0b7159203d71445311f0a0000,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,0xdd63fe25e25b76686df754d5283e8c5e703ae39f,872085.984927387,Dione,Dione,9,166,461208,27435373260,139050,14520431,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xed7ac2b8d6052c0c195ba2176042c2b54a1178ba65004cb9654f54dd4926cbbe,20966619,1728942875,91319,0x000000732876cec0b7159203d71445311f0a0000,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,17797.673161783,Dione,Dione,9,166,461208,27435373260,139050,14520431,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xed7ac2b8d6052c0c195ba2176042c2b54a1178ba65004cb9654f54dd4926cbbe,20966619,1728942875,91319,0x000000732876cec0b7159203d71445311f0a0000,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,1977.519240198,Dione,Dione,9,166,461208,27435373260,139050,14520431,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xed7ac2b8d6052c0c195ba2176042c2b54a1178ba65004cb9654f54dd4926cbbe,20966619,1728942875,91319,0x000000732876cec0b7159203d71445311f0a0000,0x89b69f2d1adffa9a253d40840b6baa7fc903d697,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,96898.442769709,Dione,Dione,9,166,461208,27435373260,139050,14520431,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x77c0dd71f2461be91527169ec2deb0149391d7fa4baaff4a4e2bdbdd520d17d6,20967014,1728947627,14,0xb1fe64b9e9e80c650ecfaf49a9bc4f300d5a58c7,0x7039cd6d7966672f194e8139074c3d5c4e6dcf65,0x000000732876cec0b7159203d71445311f0a0000,5433.536218977,Super Trump,STRUMP,9,13,143568,21811362257,66984,1499226,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
