txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xf0ac33482ad0e2df51a52ce49c2d79e4b8fc908755f8c3d5e26073ce55dff4f9,20957402,1728831539,8,0xba70406cf2ed553cd2f459e07db8265ef7c59e93,0x3a856d4effa670c54585a5d523e96513e148e95d,0x000016e95b33446d61c6bd9732ada6f7b16f0000,198.0,Trias Token,TRIAS,18,15,118934,22116552257,54233,2400128,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x2ba98e947a43ed9a273a44ad668b8344ae5c806d132470eef58e83c857ba6081,20957863,1728837143,10,0x143a629cc3a86ed6eb487d3ddb928f17d5849687,0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,0x000016e95b33446d61c6bd9732ada6f7b16f0000,13018.760619449999,Retik Finance,RETIK,18,23,73976,24848385172,59233,3782956,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xf4be6aef2feef009dbfab8fdd4dddeeed041c52a399111450c7c22b88d789702,20957865,1728837167,91128,0x000016e95b33446d61c6bd9732ada6f7b16f0000,0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,2148.09550220925,Retik Finance,RETIK,18,20,319548,29517185055,90548,3067682,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xf4be6aef2feef009dbfab8fdd4dddeeed041c52a399111450c7c22b88d789702,20957865,1728837167,91128,0x000016e95b33446d61c6bd9732ada6f7b16f0000,0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,0xdf5e4865fe680624c4637baa04ad7a881606d8e3,10870.665117240751,Retik Finance,RETIK,18,20,319548,29517185055,90548,3067682,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xf5329f922f36298cd78d8cdd3230760f386439ba9071d34bd444885647db962e,20958277,1728842123,2,0x476a6f0da5d53ab73f199b54f761742f98484b53,0xdac17f958d2ee523a2206206994597c13d831ec7,0x000016e95b33446d61c6bd9732ada6f7b16f0000,97.9371,Tether USD,USDT,6,23,126322,17650506266,58361,4249268,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x731f709b845fd4ecbc4293ab8568cb4fb753fbebadc495dab1c95cdec1884e4e,20958326,1728842711,162,0xa8ccbc53b1f023d9054c1c539ac71f0055791bbf,0xdac17f958d2ee523a2206206994597c13d831ec7,0x000016e95b33446d61c6bd9732ada6f7b16f0000,39.100142,Tether USD,USDT,6,180,92122,10265990178,41261,15570287,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x213352c43132036e3ec9da7818dccda946ee18aa4c30b46fe5bf9c4eb105ee46,20958328,1728842735,91134,0x000016e95b33446d61c6bd9732ada6f7b16f0000,0xdac17f958d2ee523a2206206994597c13d831ec7,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,7.820028,Tether USD,USDT,6,14,315416,16753756040,93433,2903912,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x213352c43132036e3ec9da7818dccda946ee18aa4c30b46fe5bf9c4eb105ee46,20958328,1728842735,91134,0x000016e95b33446d61c6bd9732ada6f7b16f0000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x17b97c22a9a8b470c2ea8c06a084c7fbf4c8d68f,31.280114,Tether USD,USDT,6,14,315416,16753756040,93433,2903912,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x62f0973ed704a7761167547527f8fffeb1f1030f4681036f089a28fda7268339,20958923,1728849899,1,0xd1b419fc9f51259a0376b69ce19623bf0925f075,0xdac17f958d2ee523a2206206994597c13d831ec7,0x000016e95b33446d61c6bd9732ada6f7b16f0000,35.0,Tether USD,USDT,6,59,92122,23856612274,41261,8400420,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x3ad88e66be28cabaadb3f335967cb667f9d460bc8925b360cc47095605ea7465,20959127,1728852371,91150,0x000016e95b33446d61c6bd9732ada6f7b16f0000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x55dec5ac88672418e84a8eec163d1464a8b09c9b,1.75,Tether USD,USDT,6,36,434688,24853741616,123251,7741825,deprecated,0xcaa5c23f,multicall(tuple[] calls)
