txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0x03781fccb63cc1314167ba16c2d65ae2b11e6dac76d75d4f942a612a6d796414,20918164,1728358055,12,0x125d6adf9663016064a1479a0206a09089f609f3,0xd1e64bcc904cfdc19d0faba155a9edc69b4bcdae,0x0000237b84f0fe3cdf300ee4be0029d034af0000,154448.775,PIKAMOON,PIKA,9,65,188928,11208606603,88644,10876545,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xf8b9e568aef296c2adfab9657053506fa1a53e9f3aa2b5b813fdefce360d2d19,20918393,1728360803,861,0xff12faf1b14b3bd54268f9d23d243f36b2cc8a94,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0x0000237b84f0fe3cdf300ee4be0029d034af0000,91097223.30203904,Mog Coin,Mog,18,25,194112,15939821811,92256,4865715,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x60bb1d05bc74016aba87cfc53a783c4f086cf16ecd7d8a9cc27cc385b425b3c8,20918394,1728360815,90412,0x0000237b84f0fe3cdf300ee4be0029d034af0000,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0.0,Mog Coin,Mog,18,32,205684,17517667149,109893,5507937,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x60bb1d05bc74016aba87cfc53a783c4f086cf16ecd7d8a9cc27cc385b425b3c8,20918394,1728360815,90412,0x0000237b84f0fe3cdf300ee4be0029d034af0000,0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,0xac68803be3ca28299bf09571945d4cd8e867e7f2,91097223.30203904,Mog Coin,Mog,18,32,205684,17517667149,109893,5507937,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x5845745411d24ce296e08e8b40bb059e184036738c51cbd4489cd410e39cd729,20918666,1728364079,490,0x1a81cc0405af873e3d574cf4632dd3db53a6aba3,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0x0000237b84f0fe3cdf300ee4be0029d034af0000,406.1371120122473,Numeraire,NMR,18,8,219512,17183993804,50078,1118603,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x32dff92a8009778844e0b42b04a586c07a10640192b926db715f760c2ed54965,20918679,1728364235,90415,0x0000237b84f0fe3cdf300ee4be0029d034af0000,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,71.07399460214329,Numeraire,NMR,18,32,351328,15426460506,97350,6581524,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x32dff92a8009778844e0b42b04a586c07a10640192b926db715f760c2ed54965,20918679,1728364235,90415,0x0000237b84f0fe3cdf300ee4be0029d034af0000,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0xfb727a7698c19d8e43f47e5fe17f1d900394e2cc,335.06311741010404,Numeraire,NMR,18,32,351328,15426460506,97350,6581524,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x025dd45e8301c35fea61661cd0a8987252edd91d787f9d2c051c19fddcb52ddf,20920374,1728384647,40,0x38d43a6cb8da0e855a42fb6b0733a0498531d774,0xbf5495efe5db9ce00f80364c8b423567e58d2110,0x0000237b84f0fe3cdf300ee4be0029d034af0000,1.0413,ezETH,Renzo Restaked ETH,18,111,341468,13014889020,75590,15989266,deprecated,0x69328dec,"withdraw(address token, uint256 amount, address destination)"
0x08151e07acee8b707bedcb5a9a91cb9f9a0c793a2a506f2633c34cda0d9a0735,20920375,1728384659,90437,0x0000237b84f0fe3cdf300ee4be0029d034af0000,0xbf5495efe5db9ce00f80364c8b423567e58d2110,0x60bfbb7e79b1f7af0dc513e460defbe143a1bc21,0.885105,ezETH,Renzo Restaked ETH,18,197,279684,19030461882,66160,16698838,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x08151e07acee8b707bedcb5a9a91cb9f9a0c793a2a506f2633c34cda0d9a0735,20920375,1728384659,90437,0x0000237b84f0fe3cdf300ee4be0029d034af0000,0xbf5495efe5db9ce00f80364c8b423567e58d2110,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,0.156195,ezETH,Renzo Restaked ETH,18,197,279684,19030461882,66160,16698838,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x8409b7944d81af929726aa0d30dc90ba06f5dc2b013dcaa44d80a25a9aa957e6,20920720,1728388811,11,0xf7439bd2692ca6bb9da4f6f75600bfb367cc2b83,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,0x0000237b84f0fe3cdf300ee4be0029d034af0000,1574.694660011,0x0.ai: AI Smart Contract Auditor,0x0,9,62,93270,13955986596,75846,11427302,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
