txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0x84472a9e7ef87a6819414187040095ad43d8d0e6bf544333f334a382dd9394ef,21244854,1732297667,18,0x2c9477296873daabc2b32212ca5deab0e9fc6c41,0xb612bfc5ce2fb1337bd29f5af24ca85dbb181ce2,0x0000403772894446aa9df0823ff4d5272d940000,11609.982303955,Klaus,KLAUS,9,41,82734,14203251092,66774,8335298,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xae7912c4ae662684704444f4b6c14fdd8bd29deba12fecda7ea92dc2e7975f3e,21244871,1732297871,95140,0x0000403772894446aa9df0823ff4d5272d940000,0xb612bfc5ce2fb1337bd29f5af24ca85dbb181ce2,0xa86c343c0b30d994d16967b72b9e9235e534497b,1741.497345593,Klaus,KLAUS,9,13,412060,18159808524,106291,2906480,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xae7912c4ae662684704444f4b6c14fdd8bd29deba12fecda7ea92dc2e7975f3e,21244871,1732297871,95140,0x0000403772894446aa9df0823ff4d5272d940000,0xb612bfc5ce2fb1337bd29f5af24ca85dbb181ce2,0x39dcc089f271ad7991e02dd4f8f1b51904194ffc,9868.484958362,Klaus,KLAUS,9,13,412060,18159808524,106291,2906480,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xdb3b77f6af15d8740dd53370846f797cd3eb2d1f1bc127edfd25ba817e11b27a,21245449,1732304807,0,0x069071b822613f23bf0af1f2c7e149f50dd743de,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000403772894446aa9df0823ff4d5272d940000,58.5,Tether USD,USDT,6,3,126322,28583275667,58361,502892,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x182f3f74bd79a4344f3aaf80690aa860536cc99555391ae7d774b13e29e956d0,21245451,1732304831,95153,0x0000403772894446aa9df0823ff4d5272d940000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x36f230c5d2a06bad4902f090b25308a6fa173b59,3.51,Tether USD,USDT,6,2,427090,16896408333,121074,340781,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x182f3f74bd79a4344f3aaf80690aa860536cc99555391ae7d774b13e29e956d0,21245451,1732304831,95153,0x0000403772894446aa9df0823ff4d5272d940000,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa86c343c0b30d994d16967b72b9e9235e534497b,8.19,Tether USD,USDT,6,2,427090,16896408333,121074,340781,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x182f3f74bd79a4344f3aaf80690aa860536cc99555391ae7d774b13e29e956d0,21245451,1732304831,95153,0x0000403772894446aa9df0823ff4d5272d940000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x388ac32a4f1bc026e3d230fa2ecdd5882f821ac1,46.8,Tether USD,USDT,6,2,427090,16896408333,121074,340781,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x835948a7895a386d0fdb5e7684cd4e0e6184bfc20fc0920434462559698e418b,21245578,1732306367,49,0xf6ec6792ed42f09d788ed1dcbb5a858a4f204667,0x3845badade8e6dff049820680d1f14bd3903a5d0,0x0000403772894446aa9df0823ff4d5272d940000,183.56171721141354,SAND,SAND,18,24,102600,14988046265,46500,4669919,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x662ed417074aca9b24f78803f150c1ed3c8b5ff5ceab5a9a0be272db7018c031,21245580,1732306391,95155,0x0000403772894446aa9df0823ff4d5272d940000,0x3845badade8e6dff049820680d1f14bd3903a5d0,0xa86c343c0b30d994d16967b72b9e9235e534497b,36.712343442282716,SAND,SAND,18,21,412780,15261350553,94843,4478507,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x662ed417074aca9b24f78803f150c1ed3c8b5ff5ceab5a9a0be272db7018c031,21245580,1732306391,95155,0x0000403772894446aa9df0823ff4d5272d940000,0x3845badade8e6dff049820680d1f14bd3903a5d0,0x66d566ff1e90d9a15497adcd9edde66fa3cfce3e,146.8493737691308,SAND,SAND,18,21,412780,15261350553,94843,4478507,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x02454638014a055f8fbb1a6e78e5f51f2888640b84e0de7dc6eba4b65c668408,21245900,1732310231,3,0xa09888daea70573c0cb39d6aefc68b6a4b98cf92,0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,0x0000403772894446aa9df0823ff4d5272d940000,16955.3390105,Retik Finance,RETIK,18,15,128066,21718066466,59233,2537452,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x1f79dd6f60bc2992f32dbb0026e187f4809327db24b319b574c7f6ea07686007,21245901,1732310243,95160,0x0000403772894446aa9df0823ff4d5272d940000,0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,0x053081e8a7aa253b75ffb80c89d66edb3fc3cc38,14412.038158925001,Retik Finance,RETIK,18,23,412660,21542204247,110297,9405309,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x1f79dd6f60bc2992f32dbb0026e187f4809327db24b319b574c7f6ea07686007,21245901,1732310243,95160,0x0000403772894446aa9df0823ff4d5272d940000,0x26ebb8213fb8d66156f1af8908d43f7e3e367c1d,0xa86c343c0b30d994d16967b72b9e9235e534497b,2543.300851575,Retik Finance,RETIK,18,23,412660,21542204247,110297,9405309,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xec81826907f41a295d9818233038a9af99671f6a0286f7d91bcf6cf7fdc687d2,21246179,1732313591,2,0x74feb6fde63c7ecd51ed16a9d2a57b162e9c80f1,0x68bbed6a47194eff1cf514b50ea91895597fc91e,0x0000403772894446aa9df0823ff4d5272d940000,850116.3554500525,Andy,ANDY,18,90,104086,20696753152,64591,8971771,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xfe190f4e9d684b29fbf0c59524a05b4db991814d5a7fff4d65a33b14e2116384,21246180,1732313603,95165,0x0000403772894446aa9df0823ff4d5272d940000,0x68bbed6a47194eff1cf514b50ea91895597fc91e,0xa86c343c0b30d994d16967b72b9e9235e534497b,170023.27109001053,Andy,ANDY,18,6,412900,28348086797,119013,1079546,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xfe190f4e9d684b29fbf0c59524a05b4db991814d5a7fff4d65a33b14e2116384,21246180,1732313603,95165,0x0000403772894446aa9df0823ff4d5272d940000,0x68bbed6a47194eff1cf514b50ea91895597fc91e,0xdfbbc1837f42eb1e1616cee8084358cfa3f403a0,680093.0843600421,Andy,ANDY,18,6,412900,28348086797,119013,1079546,deprecated,0xcaa5c23f,multicall(tuple[] calls)
