txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0x4a7bd39c7e6cca20abe3a2da32151292ac2fb9386632906e04862ad482968459,21386495,1734007355,26,0x46ddc64d4c14ab56aafa49918eae027a9286322e,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x00005a7ac0c65f28040122d70a8df57da35d0000,171.75123762376236,Synthetix Network Token,SNX,18,21,237786,27449866277,112932,6849968,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xa8836a32a5b7f6b737beef6d0a95d0bce7519c1d287f743230cb606edc14b9c9,21386497,1734007379,98663,0x00005a7ac0c65f28040122d70a8df57da35d0000,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x5400f716f97a294b75c5db0c37d432231485e426,17.175123762376234,Synthetix Network Token,SNX,18,3,412540,27266888787,181383,1316160,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xa8836a32a5b7f6b737beef6d0a95d0bce7519c1d287f743230cb606edc14b9c9,21386497,1734007379,98663,0x00005a7ac0c65f28040122d70a8df57da35d0000,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x8b3f3d4ed52798e46f2a5b26bdd53c75a7e74696,154.57611386138612,Synthetix Network Token,SNX,18,3,412540,27266888787,181383,1316160,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe23d7a73d8b53559d6768c46f41ae3fc0a69ee3b45498e0e277a96a80d9e0dd1,21386498,1734007391,27,0x46ddc64d4c14ab56aafa49918eae027a9286322e,0xf94e7d0710709388bce3161c32b4eea56d3f91cc,0x00005a7ac0c65f28040122d70a8df57da35d0000,554.5214941795738,Destra Network,DSync,18,2,158072,27449866277,74236,238653,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x1112183935cde5046c66cbc905ce48caf71e13392064ff27ba623e4aea72d069,21386500,1734007415,98664,0x00005a7ac0c65f28040122d70a8df57da35d0000,0xf94e7d0710709388bce3161c32b4eea56d3f91cc,0x5400f716f97a294b75c5db0c37d432231485e426,55.45214941795738,Destra Network,DSync,18,34,412660,27293897820,130303,6505009,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x1112183935cde5046c66cbc905ce48caf71e13392064ff27ba623e4aea72d069,21386500,1734007415,98664,0x00005a7ac0c65f28040122d70a8df57da35d0000,0xf94e7d0710709388bce3161c32b4eea56d3f91cc,0x8b3f3d4ed52798e46f2a5b26bdd53c75a7e74696,499.0693447616164,Destra Network,DSync,18,34,412660,27293897820,130303,6505009,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe623a125fbd015ac5ad439e46dfa9e3e52cef70f447493f1f432e44f000a795d,21387339,1734017531,3,0x287966e03cb4ad7ee695cfcf81bfcdd0d74d2be3,0x9cdf242ef7975d8c68d5c1f5b6905801699b1940,0x00005a7ac0c65f28040122d70a8df57da35d0000,2699213.096680342,WhiteRock,WHITE,18,82,83526,30304641881,66432,12526117,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x9e4de5308f8dd7be60e9d5784a39d9f4196b17418ceab057560456c97e15f88f,21387342,1734017567,98690,0x00005a7ac0c65f28040122d70a8df57da35d0000,0x9cdf242ef7975d8c68d5c1f5b6905801699b1940,0x5400f716f97a294b75c5db0c37d432231485e426,539842.6193360685,WhiteRock,WHITE,18,52,413020,44579096336,120183,4884580,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x9e4de5308f8dd7be60e9d5784a39d9f4196b17418ceab057560456c97e15f88f,21387342,1734017567,98690,0x00005a7ac0c65f28040122d70a8df57da35d0000,0x9cdf242ef7975d8c68d5c1f5b6905801699b1940,0x7098230dff2d91eec6b783efa4c944c572705b33,2159370.4773442736,WhiteRock,WHITE,18,52,413020,44579096336,120183,4884580,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x605985c6189f0b429d88c06beb32622d3ae5ebeb651e570d849ed371c44ab6cc,21387440,1734018743,13,0x1ff7bb3fc907028e40afb312911ea41015f4a505,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,0x00005a7ac0c65f28040122d70a8df57da35d0000,879.869849725,0x0.ai: AI Smart Contract Auditor,0x0,9,55,93270,36380533182,75846,7353815,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
