txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xed442e2bee4cb61fc7428a2bf3f1f52e98c31ca44f008c8079978a26ac9fa7dd,20986068,1729177547,36,0x0c3595a5190e2664392f75ab21111f21540d26ac,0x3f66ae0c8e9fb57f661af4ba8c8445d36ec5d7f7,0x000085c4a7db78907f8513a1e382f303f6130000,28862.91801905059,Cryptify AI,CRAI,18,85,103226,22912928602,46813,10252417,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xca11bf7040f7a8778d9aa915da172dec70661216efa50b66beccb73560526ea8,20986070,1729177571,91617,0x000085c4a7db78907f8513a1e382f303f6130000,0x3f66ae0c8e9fb57f661af4ba8c8445d36ec5d7f7,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,5772.583603810119,Cryptify AI,CRAI,18,12,269868,35333408196,75696,2011631,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xca11bf7040f7a8778d9aa915da172dec70661216efa50b66beccb73560526ea8,20986070,1729177571,91617,0x000085c4a7db78907f8513a1e382f303f6130000,0x3f66ae0c8e9fb57f661af4ba8c8445d36ec5d7f7,0xff3f249e92be2b474b574aef9a7f1bf72c596ff2,23090.334415240475,Cryptify AI,CRAI,18,12,269868,35333408196,75696,2011631,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x53e5df4cfde380f924ecd1819cdaf2d48bca5315c3b7b6c0c8d8b7115fc1d38e,20987644,1729196543,4,0x63eb5cad285ca0d2bcf36a8e73a9c5c3cc3dad6c,0xb612bfc5ce2fb1337bd29f5af24ca85dbb181ce2,0x000085c4a7db78907f8513a1e382f303f6130000,15577.165500851,Klaus,KLAUS,9,25,82734,18962141762,66774,4443668,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x72343aaaf629a9ebc6072d83be42ad329a4348f67a68a3144e9e2b08f1725755,20987646,1729196567,91632,0x000085c4a7db78907f8513a1e382f303f6130000,0xb612bfc5ce2fb1337bd29f5af24ca85dbb181ce2,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,3115.43310017,Klaus,KLAUS,9,24,349520,23586287225,103618,5953561,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x72343aaaf629a9ebc6072d83be42ad329a4348f67a68a3144e9e2b08f1725755,20987646,1729196567,91632,0x000085c4a7db78907f8513a1e382f303f6130000,0xb612bfc5ce2fb1337bd29f5af24ca85dbb181ce2,0x56ba336898033069648dd735be788e3ec10e531d,12461.732400681,Klaus,KLAUS,9,24,349520,23586287225,103618,5953561,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xa13a91284ff4404d260681208a2f67ddd433287adcbd414a3b2c2591eee15226,20988415,1729205867,3,0xffa72057153b0676b27a169da1660a1fff8a7383,0x1121acc14c63f3c872bfca497d10926a6098aac5,0x000085c4a7db78907f8513a1e382f303f6130000,6982.96180667784,Department Of Government Efficiency,DOGE,18,46,88321,12100673320,71585,5190412,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xce0f34f005163655ad06a666046cc8596ff5afb54b7ee1199a23ba7651a353e5,20988417,1729205891,91637,0x000085c4a7db78907f8513a1e382f303f6130000,0x1121acc14c63f3c872bfca497d10926a6098aac5,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,1396.5923613355678,Department Of Government Efficiency,DOGE,18,1,368908,16236720528,109228,139563,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xce0f34f005163655ad06a666046cc8596ff5afb54b7ee1199a23ba7651a353e5,20988417,1729205891,91637,0x000085c4a7db78907f8513a1e382f303f6130000,0x1121acc14c63f3c872bfca497d10926a6098aac5,0x6c7724f2cae376a32bf2db3f0eedbb759f163db5,5586.369445342271,Department Of Government Efficiency,DOGE,18,1,368908,16236720528,109228,139563,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe893e5c01ce98a4443d87b33c1ffa51f18249a214d336973809d32400cd1569c,20989251,1729215947,28,0x8fb809927d4b66af8a37aac49b41a16ad1db8770,0x155788dd4b3ccd955a5b2d461c7d6504f83f71fa,0x000085c4a7db78907f8513a1e382f303f6130000,10433458.422965221,KAMALA HARRIS,HARRIS,9,14,141634,17631156381,66017,1736301,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
