txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xf108bbbd3866a20ea0b66f79d166ba42b942c4949d32d0bd3da066fbb2958671,20944117,1728670691,24,0x32fc2269f19b777476b754edc73eb990bc2e1b85,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000c00a956d5397255ab75fc21a8e0248640000,0.0435,Wrapped Ether,WETH,18,1,103092,37637165681,46746,204129,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x913b7d669867868e10d998a74c8716af8c55e09f4909a2751fc55f8685eb4238,20944119,1728670715,90874,0x0000c00a956d5397255ab75fc21a8e0248640000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,0.0087,Wrapped Ether,WETH,18,26,269360,29627219168,75550,4517922,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x913b7d669867868e10d998a74c8716af8c55e09f4909a2751fc55f8685eb4238,20944119,1728670715,90874,0x0000c00a956d5397255ab75fc21a8e0248640000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb99a643b3f97e967b43efd922041fd1a35dd5be6,0.0348,Wrapped Ether,WETH,18,26,269360,29627219168,75550,4517922,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xf0df14f2c39aa7891c2f502d5804da3e728aba83a91160640a9346c99e8af61c,20944689,1728677639,4,0x2b6cb554c52a77e9ce9f300fffb245916dd0836d,0x3927fb89f34bbee63351a6340558eebf51a19fb8,0x0000c00a956d5397255ab75fc21a8e0248640000,26734.339115309067,SPURDO,SPURDO,18,36,83269,14495900667,67234,6403048,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xcfe3037ff0426f11c3aed44267fc641663fb88d3483242589bb308822b17f898,20944695,1728677711,90883,0x0000c00a956d5397255ab75fc21a8e0248640000,0x3927fb89f34bbee63351a6340558eebf51a19fb8,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,3341.7923894136334,SPURDO,SPURDO,18,24,419904,17838350346,119626,9229641,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xcfe3037ff0426f11c3aed44267fc641663fb88d3483242589bb308822b17f898,20944695,1728677711,90883,0x0000c00a956d5397255ab75fc21a8e0248640000,0x3927fb89f34bbee63351a6340558eebf51a19fb8,0x22408b5ba24368736ddbacd48a0c3b1a7c9a0930,23392.546725895438,SPURDO,SPURDO,18,24,419904,17838350346,119626,9229641,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xb06201d65369aa18c28a1ae06f3b15dc1f5ac5cbbbb6828fbabd94d48c32236f,20944812,1728679115,44,0x4da2d853dd61544e0d17b10cf58bd1463ec32874,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0x0000c00a956d5397255ab75fc21a8e0248640000,125.0,Lido DAO Token,LDO,18,95,286110,9710215170,143055,14065412,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xd2fde62645cffbd2cdd423653cb9014f09e303f773872b180b7fc344380b444f,20944813,1728679127,90890,0x0000c00a956d5397255ab75fc21a8e0248640000,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0x99b83401dfdf1fea394f0bd727af0e3edaf68528,106.25,Lido DAO Token,LDO,18,78,531000,14429633720,211782,6366898,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xd2fde62645cffbd2cdd423653cb9014f09e303f773872b180b7fc344380b444f,20944813,1728679127,90890,0x0000c00a956d5397255ab75fc21a8e0248640000,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xaa862f977d6916a1e89e856fc11fd99a2f2fabf8,18.75,Lido DAO Token,LDO,18,78,531000,14429633720,211782,6366898,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x530d51e99104f07e153a765257fd1f074e2fa16651a1c9aea6b8118582c1de74,20945162,1728683363,39,0xb972fbb5aa8c79e1101c656fa35a6d86d12ee95e,0xcb76314c2540199f4b844d4ebbc7998c604880ca,0x0000c00a956d5397255ab75fc21a8e0248640000,82599.0721046183,Strawberry AI,BERRY,18,69,65394,18442123475,51844,9303989,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
