txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xeb812884eeaed13d862aefee973647d1b2278a303286903af1286f3e7a1d9e49,21422180,1734437567,0,0x114e88af37ff527710c197cfc0cf2d51eaa9dfec,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,94.937604,Tether USD,USDT,6,10,126322,16071015362,58361,1659561,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x89cc8aa5500551eac131d6843c8df2eaeac2c4cd9a9e8f45e484eb42cef751e5,21422182,1734437591,99864,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x5400f716f97a294b75c5db0c37d432231485e426,9.49376,Tether USD,USDT,6,97,411220,16071015362,108383,13926136,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x89cc8aa5500551eac131d6843c8df2eaeac2c4cd9a9e8f45e484eb42cef751e5,21422182,1734437591,99864,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xdac17f958d2ee523a2206206994597c13d831ec7,0x906e0667539973cd558fac37ab595342329972bf,85.443844,Tether USD,USDT,6,97,411220,16071015362,108383,13926136,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x4c2ccad05b7e9268a4721b9f0d1d61266116f362ad9b4f8af2fb0dc4e14d0a1a,21422384,1734440027,6,0x0051c616ed7074591afe2cb862f430daa9b0dd64,0xaeb3607ec434454ceb308f5cd540875efb54309a,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,33.418292311057215,Sturdy Token,STRDY,18,198,61999,14314060091,48921,18135765,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xdb4550b1dc548c328473b0b28166649438ec0fff9ef0b226c4fa51b624f6ce78,21422389,1734440087,99896,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xaeb3607ec434454ceb308f5cd540875efb54309a,0x5400f716f97a294b75c5db0c37d432231485e426,3.3418292311057214,Sturdy Token,STRDY,18,17,428770,18347685642,126065,1522239,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xdb4550b1dc548c328473b0b28166649438ec0fff9ef0b226c4fa51b624f6ce78,21422389,1734440087,99896,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xaeb3607ec434454ceb308f5cd540875efb54309a,0xed16601d5d2dbcff3a68fbed2703191090d8980e,3.007646307995149,Sturdy Token,STRDY,18,17,428770,18347685642,126065,1522239,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xdb4550b1dc548c328473b0b28166649438ec0fff9ef0b226c4fa51b624f6ce78,21422389,1734440087,99896,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xaeb3607ec434454ceb308f5cd540875efb54309a,0xed9b4b3e97b908d95fe1c8471ff606fb0a7ea628,27.068816771956342,Sturdy Token,STRDY,18,17,428770,18347685642,126065,1522239,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x2bb50674399f751234ad18a83d64ec5b89bbd4ded5ebe411dd3e35bd0cc02536,21422438,1734440675,6,0x2e951812579275b6a52d86bd47096c93d30c9086,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,101135.90327226857,Apu Apustaja,APU,18,208,104364,15220275595,47382,23022791,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xa78c9abdc7e0e44668fa40056d9d55ce5d5204a11d3bb4791400f622ff37ba54,21422439,1734440687,123,0x8749cbfb9146ba52c9d9961205b651c83185c135,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,229.33383597146147,Ondo,ONDO,18,7,123034,21661147932,56717,685886,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x55d6a6a5c2a6b584f27c3535b6e4cc6c0473d2ae995f3780cc9b03eb11a7f66f,21422440,1734440699,124,0x8749cbfb9146ba52c9d9961205b651c83185c135,0xdd66781d0e9a08d4fbb5ec7bac80b691be27f21d,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,1076.073017771746,AxonDAO Governance Token,AXGT,18,22,133346,21661147932,61873,6332198,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x6c69d05c38fccf3f76c0ae7f3dece5c78894f50817dacfe028386b8abff02a13,21422441,1734440711,99899,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,0x5400f716f97a294b75c5db0c37d432231485e426,22.93338359714615,Ondo,ONDO,18,10,412660,21099014393,109265,1988470,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x6c69d05c38fccf3f76c0ae7f3dece5c78894f50817dacfe028386b8abff02a13,21422441,1734440711,99899,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,0xcaa5ede382ba476e87383db5a05f524e5cc62193,206.40045237431534,Ondo,ONDO,18,10,412660,21099014393,109265,1988470,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x08de5d979889a27f6ea6996203dda452c6cb2607daad27215b0c56068a51f908,21422450,1734440819,99901,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xdd66781d0e9a08d4fbb5ec7bac80b691be27f21d,0x5400f716f97a294b75c5db0c37d432231485e426,107.6073017771746,AxonDAO Governance Token,AXGT,18,25,412660,22937551235,115577,2029726,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x08de5d979889a27f6ea6996203dda452c6cb2607daad27215b0c56068a51f908,21422450,1734440819,99901,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xdd66781d0e9a08d4fbb5ec7bac80b691be27f21d,0xcaa5ede382ba476e87383db5a05f524e5cc62193,968.4657159945713,AxonDAO Governance Token,AXGT,18,25,412660,22937551235,115577,2029726,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xccbbb9f7d1101aaff9f210d2f477130d931d92445ec3eb5c4ef1e457b45e74ba,21422451,1734440831,99902,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,0xb62b17f6fad5f565f7aa71ca9d689b2e9c0fc5f2,85965.51778142828,Apu Apustaja,APU,18,3,412900,22937551235,79495,291488,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xccbbb9f7d1101aaff9f210d2f477130d931d92445ec3eb5c4ef1e457b45e74ba,21422451,1734440831,99902,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,0x5400f716f97a294b75c5db0c37d432231485e426,15170.385490840286,Apu Apustaja,APU,18,3,412900,22937551235,79495,291488,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xc7dbd2200fbd492fd51e1b29be1feee9917811be4597517a115ac2982f048037,21422457,1734440903,166,0xeffac69f466c59b626f259d4ccf755b848dd159a,0xc092a137df3cf2b9e5971ba1874d26487c12626d,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,4116.358413852186,Ring AI,RING,18,51,96022,17651163356,78215,3460165,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x5aa193a593cdf3898518bdbc767c894c06d1c2257c1ba8cacb35f5bf14853eb2,21422458,1734440915,99905,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xc092a137df3cf2b9e5971ba1874d26487c12626d,0x5400f716f97a294b75c5db0c37d432231485e426,514.5448017315232,Ring AI,RING,18,3,412660,24251102891,134261,366541,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x5aa193a593cdf3898518bdbc767c894c06d1c2257c1ba8cacb35f5bf14853eb2,21422458,1734440915,99905,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xc092a137df3cf2b9e5971ba1874d26487c12626d,0x2588c8170fcb77367b5a44c941d8aa91d0f6e8b4,3601.8136121206626,Ring AI,RING,18,3,412660,24251102891,134261,366541,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x42a31dcae2581d0b7773ceb86db7c7d3dced8f3c5a221a1d6b58969ee64dc4bd,21422458,1734440915,167,0xeffac69f466c59b626f259d4ccf755b848dd159a,0xe3b9cfb8ea8a4f1279fbc28d3e15b4d2d86f18a0,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,91375221.0217563,Fottie,FOTTIE,9,72,81896,16761442859,66052,5015332,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x0bc263c6170722a0cdf3f58fcf30cb8132316c37dcef3e244e319a1d551140b7,21422460,1734440939,99906,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xe3b9cfb8ea8a4f1279fbc28d3e15b4d2d86f18a0,0x5400f716f97a294b75c5db0c37d432231485e426,11421902.627719536,Fottie,FOTTIE,9,2,412300,24251102891,121923,237081,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x0bc263c6170722a0cdf3f58fcf30cb8132316c37dcef3e244e319a1d551140b7,21422460,1734440939,99906,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xe3b9cfb8ea8a4f1279fbc28d3e15b4d2d86f18a0,0x2588c8170fcb77367b5a44c941d8aa91d0f6e8b4,79953318.39403677,Fottie,FOTTIE,9,2,412300,24251102891,121923,237081,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xa06aa26e6263c2c4769f9a5b59413534a33fb8733b0a264634838852cb8b816f,21422652,1734443267,7,0xaf1ce8edacd8a95c5dbbf8ba583d8d5e9b1253e0,0x292fcdd1b104de5a00250febba9bc6a5092a0076,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,157384.14363098267,HashAI,HashAI,18,160,83269,20811444689,67234,17674752,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0xb81689091071f88fc4eb57d6b39cb0cd5924ac72fab8a2f5f091e70b79de16be,21422654,1734443291,8,0xaf1ce8edacd8a95c5dbbf8ba583d8d5e9b1253e0,0xb0ac2b5a73da0e67a8e5489ba922b3f8d582e058,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,421440352.09034455,Shiro Neko,SHIRO,18,29,67357,21067847858,53534,4325867,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x74daaa580cc048671ce3283a768d151d82995874fd4067d2827a169ec39cdb36,21422654,1734443291,99919,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0x292fcdd1b104de5a00250febba9bc6a5092a0076,0xa85d90b8febc092e11e75bf8f93a7090e2ed04de,15738.414363098267,HashAI,HashAI,18,136,412540,30561755660,105163,10517642,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x74daaa580cc048671ce3283a768d151d82995874fd4067d2827a169ec39cdb36,21422654,1734443291,99919,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0x292fcdd1b104de5a00250febba9bc6a5092a0076,0xdb204545a2154bdc0be0306dd5e94791730d4635,141645.7292678844,HashAI,HashAI,18,136,412540,30561755660,105163,10517642,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xcf4b736f0909108f11334a5d77bd9adcad051cc3debc7c48ae98a664beb9c391,21422661,1734443375,99921,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xb0ac2b5a73da0e67a8e5489ba922b3f8d582e058,0x5400f716f97a294b75c5db0c37d432231485e426,42144035.20903445,Shiro Neko,SHIRO,18,4,413260,30961974621,89787,713946,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xcf4b736f0909108f11334a5d77bd9adcad051cc3debc7c48ae98a664beb9c391,21422661,1734443375,99921,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,0xb0ac2b5a73da0e67a8e5489ba922b3f8d582e058,0xdb204545a2154bdc0be0306dd5e94791730d4635,379296316.88131005,Shiro Neko,SHIRO,18,4,413260,30961974621,89787,713946,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xfc2ce456a6594eca2e43d6ea35b2ae7f065b410b3b3ec936259c8e47506b18a2,21422705,1734443903,7,0x749c562d67edd41948b9b6dc0ea1e30759aaf11f,0xb8d6196d71cdd7d90a053a7769a077772aaac464,0x0000ce856fd9192f079cfb6bb99eb6c06dba0000,12106150.365016129,Mars,MARS,9,26,126030,32882494739,58215,5377335,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
