txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xac295f2a5a9da03320cabbddf7110ef8bfd75e82b2c2cd5113fe8332d670d90c,20964443,1728916631,28,0x8cd898f2845d987fdbeb6b0eb0d2408241409b32,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,0.5,pufETH,pufETH,18,20,488163,45544098268,314160,4103064,deprecated,0x0efe6a8b,"deposit(address _input, uint256 _amount, uint256 _min_mint_amount)"
0x8cb6cb7c792bb69df20b555d5caa3a2f8fbf97d74dde54909374ab1477613d21,20970086,1728984695,32,0x8cd898f2845d987fdbeb6b0eb0d2408241409b32,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,0.2,pufETH,pufETH,18,149,463843,13952691887,283076,15557049,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0xcc83f448a10354f92922e48831b551911f481ce0f7a3ef4f4103abb511a78f92,20970211,1728986195,10,0x83ec0b4211fa5da7fb2b6bc88f285525a93412e9,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,0.489296187,pufETH,pufETH,18,40,515854,14598388753,317276,4394852,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0x678a364caf20482eb785cdc23626537c29b59a06256e818048078a6ceccbd62a,20970398,1728988439,17,0xfa6151d447778ab7a22e36a4abf160aeb79ac656,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,24.5035439128,pufETH,pufETH,18,135,444771,11659194443,317300,10877208,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0x47ed80a38cd3ed8faa2b99dbe2508c06d5531ea7f5e434ef4a6b3d0f926b10c5,20970661,1728991607,60,0x50d5bf400702bcecb528bf5fe689451a12f5862f,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,0.954425959,pufETH,pufETH,18,177,515874,16771383410,317288,12892664,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0xf0afdd97e90394177e6f83a81940d43fa4fef184d95263bf0fb7fdd233faf23e,20970805,1728993359,1318,0xf2868465f872b452c14f60954be9e35c02a9df5f,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,0.0097879826,pufETH,pufETH,18,77,326566,17850024117,300176,9066600,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0x9c27c95871500f175ed702c92571b4ceeada293655450df80385ce6aa9461a23,20971142,1728997439,20,0x53f896f9ad9b7fda5350207adee85fd29a1eabf9,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,0.0978161379,pufETH,pufETH,18,120,515874,29788510350,317288,10348360,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0xb9b2e3bf42f93044274b180f097cd3fbddea5d556fa88ef247432b8289118af5,20971298,1728999335,507,0x0d389aa79159030f4c7651ea98f56193f448c3f9,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,5.2841970574,pufETH,pufETH,18,25,515855,28983460512,317276,5099335,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0x0e82599f93637914ad1dbb024129cb2c2f5297db7500e8290db5726557487000,20971339,1728999827,194,0xcb69ef8e89d78bbfb592ebead2ddea1d2a07b2fc,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,9.6902950967,pufETH,pufETH,18,103,515874,28039840125,317288,8308073,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
0xa14bfea5117c08822f1809adc8d168678e074c63373b74a63d43e8aa1c2eebad,20971573,1729002635,190,0x9cc96683eee232f52c0968b4f4bc1a0f312c0306,0xd9a442856c234a39a81a089c06451ebaa4306a72,0x196ead472583bc1e9af7a05f860d9857e1bd3dcc,31.4564276921,pufETH,pufETH,18,53,515892,35636359042,317300,6431490,deprecated,0x3d935d9e,"depositWithPermit(address farming, uint256 _pid, uint256 _amount, uint256 deadline, uint8 v, bytes32 r, bytes32 s)"
