txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0x9636171ff410d7cc918a306428c199810dad3dbc48d225ff4fa4897700d37387,21043704,1729872263,66,0x50b06a4037a167073a45ab3cc895c52378b08ba8,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,19,957726,16300000000,626208,5055092,deprecated,0x6a5f2c4a,
0x6baca0922b17e0f2f0c9aa2f7172c7a06c31818bcf90e0d92f712967c6ffd151,21043705,1729872275,93,0x556fedf2213a31c7ab9f8bc8db5b2254261a5b0b,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,11,2027777,15471040749,1815542,4486457,deprecated,0x6a5f2c4a,
0xd44cab7b78851a332d62b8e90c4eb817f9fe208ab365d0e385bc79f10518c8f6,21043705,1729872275,2,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,35,607773,15358196013,484288,9300401,deprecated,0x157a039b,
0x3aba117565f6e24e2f439a5ba324667a5318728d5f2fcbff73697c17c7ccf71a,21043705,1729872275,10,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,2.8,stETH,stETH,18,108,732715,15562796492,599121,17368278,deprecated,0x157a039b,
0x1d28a58bd69f77cb8ef7d43e0668442ae1a60633d08b7d9e05991aa102bd7531,21043708,1729872311,1036,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,11.9,stETH,stETH,18,172,2345331,15047541768,1497024,16128628,deprecated,0xacc446eb,
0x1d28a58bd69f77cb8ef7d43e0668442ae1a60633d08b7d9e05991aa102bd7531,21043708,1729872311,1036,0x4d72bff1beac69925f8bd12526a39baab069e5da,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000000,10.06024974239824,Wrapped liquid staked Ether 2.0,wstETH,18,172,2345331,15047541768,1497024,16128628,deprecated,0xacc446eb,
0x1d28a58bd69f77cb8ef7d43e0668442ae1a60633d08b7d9e05991aa102bd7531,21043708,1729872311,1036,0xe6b5a31d8bb53d2c769864ac137fe25f4989f1fd,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4d72bff1beac69925f8bd12526a39baab069e5da,10.06024974239824,Wrapped liquid staked Ether 2.0,wstETH,18,172,2345331,15047541768,1497024,16128628,deprecated,0xacc446eb,
0xba699b2525c2ce1f745f2b7c035d20048a2624a25db56c9c3629a5e89aa60233,21043708,1729872311,692,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,174,2684141,15047541768,1759168,18085873,deprecated,0x157a039b,
0x79a96c2b58242382a582e8ee6222ad2efca7598d8a2261368624817004123707,21043708,1729872311,43,0x4d72bff1beac69925f8bd12526a39baab069e5da,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000000,13.357306380663207,Wrapped liquid staked Ether 2.0,wstETH,18,38,2839739,17908581768,1821479,5538475,deprecated,0xacc446eb,
0x79a96c2b58242382a582e8ee6222ad2efca7598d8a2261368624817004123707,21043708,1729872311,43,0x4126e59439524c6aa971347e5d6501d33b5ee22b,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4d72bff1beac69925f8bd12526a39baab069e5da,13.357306380663207,Wrapped liquid staked Ether 2.0,wstETH,18,38,2839739,17908581768,1821479,5538475,deprecated,0xacc446eb,
0x79a96c2b58242382a582e8ee6222ad2efca7598d8a2261368624817004123707,21043708,1729872311,43,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,38,2839739,17908581768,1821479,5538475,deprecated,0xacc446eb,
0x656e00f276f0e10f7f70276ad788463c638d001a216ccb6fc0bd0aaaaba5251c,21043709,1729872323,23,0x96e4e2ebbeff1f45bfb678695628fa7a0398de1c,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,156,801288,15579055524,523546,13121059,deprecated,0x6a5f2c4a,
0x35f12d4fe802f50ce1caf40acb718d48c74b5367419b3683f120587f707ff735,21043710,1729872335,37,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,24,515764,15787618160,483529,4916324,deprecated,0x157a039b,
0xda74589359b547f5df29cade09983cbd680ac18059183f022ddfd17cfa7338c6,21043710,1729872335,22,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,133,1875703,15787618160,1758472,12523379,deprecated,0x157a039b,
0xdcd95951c05681b81b27ff3de123307396824851c9770cfeb8c57377f1cdd767,21043713,1729872371,79,0xe3e34fa93575af41bef3476236e1a3cdb3f60b85,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.2680987070249878,Wrapped liquid staked Ether 2.0,wstETH,18,91,625565,15862337828,546668,6752167,deprecated,0xacc446eb,
0xdcd95951c05681b81b27ff3de123307396824851c9770cfeb8c57377f1cdd767,21043713,1729872371,79,0x4d72bff1beac69925f8bd12526a39baab069e5da,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000000,1.2680987070249878,Wrapped liquid staked Ether 2.0,wstETH,18,91,625565,15862337828,546668,6752167,deprecated,0xacc446eb,
0xdcd95951c05681b81b27ff3de123307396824851c9770cfeb8c57377f1cdd767,21043713,1729872371,79,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,91,625565,15862337828,546668,6752167,deprecated,0xacc446eb,
0x7d3fe74c8c239980df939a9820aaa7f038a1de73020d169b7f7fcacb19369378,21043716,1729872407,91,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,10.6,stETH,stETH,18,76,1381130,15652155636,1294810,5199732,deprecated,0x157a039b,
0xa44ab6cf056ffb123492fa4dd147e936ba90ef1786ba17fb69000311883ea6b7,21043717,1729872419,2,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,4.1,stETH,stETH,18,258,1093605,14360358830,715379,23271123,deprecated,0x157a039b,
0x6f3b1d17b58c942c625070b941fd94b2723f9dfe11ae50cb51510b51181cd2ed,21043717,1729872419,62,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,259,2683023,14360358830,1758434,25029557,deprecated,0x157a039b,
0x1124d323d0e1ea2562e440ff588bea37dd1377cb6fe3fd9bd7f957d7a4e2d564,21043719,1729872443,235,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,84,519065,15877137804,484324,5478760,deprecated,0x157a039b,
0x3229c9aa88f3f7f4729cb4ed6cb98483b2aa63730b7fd1a6e5d9cf9001f3ebed,21043720,1729872455,0,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,212,741482,14635908443,484298,22424143,deprecated,0x157a039b,
0xfa1f6bfaaf44f0536c68d20f07571329225be6940f35e8e4601e3d9a1917cbc2,21043732,1729872599,11,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,98,740328,13854854311,483541,11702085,deprecated,0x157a039b,
0x1ef09e30527e5e4231c51d64fa4bbd205cde4d856e5e2e5fb86665c0dd54c74f,21043741,1729872707,48,0xf39703f07db8774e43f59241ee234fe55fce0898,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,10.6,stETH,stETH,18,27,1422831,14968626272,1334807,6063540,deprecated,0x6a5f2c4a,
0x0bcf0278e1ecd4a754cc26158417c382d98dc0d7a2a8bbd79a84ae4eda6c0ab8,21043747,1729872779,10,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,5.4,stETH,stETH,18,121,885855,14291238349,831217,12079236,deprecated,0x157a039b,
0x7f503c0ca115e43ee9025b3a0e1bf776ddbe9e5d427044778d7714b07fd5717f,21043752,1729872839,54,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,2.8,stETH,stETH,18,34,639094,14482842521,599151,10615723,deprecated,0x157a039b,
0x48d05805ef599900e7df128bea36129702445f4369def43f3f6483feae2496c5,21043752,1729872839,37,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,48,2682938,14076049537,1758378,13540472,deprecated,0x157a039b,
0x2aa44b43ec445b916ad51076b51e64396cb1f6f4bb56cee4b43587354dfac7dc,21043783,1729873211,1252,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,152,1878877,11542903467,1759148,13153587,deprecated,0x157a039b,
0xc5ddaa9a988b9e2d59dc44c1b862f335f46109b571d6373a8e3f6c8d87bb06b3,21043794,1729873343,6,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,8.0,stETH,stETH,18,108,1136352,11127835123,1063030,12003556,deprecated,0x157a039b,
0xe08ad8024e30121e19a1128ac26541419d8275326eb7883ac28516c079928200,21043801,1729873427,47,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,3.85,stETH,stETH,18,145,240672,9932451418,158027,11748271,deprecated,0x5358fbda,depositETH(uint256 _pid)
0x33d570532767c6c3568d224b671c4060a9665f07bde3a6101f9b34c029376d22,21043808,1729873511,4,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,0.0501,stETH,stETH,18,190,240672,10726283198,158027,14053397,deprecated,0x5358fbda,depositETH(uint256 _pid)
0x566ee403d25127198d65f83757152a1f655ed9c101477043eefd00f5556ba623,21043835,1729873835,141,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,8.0,stETH,stETH,18,466,1132998,9211607287,1062986,21974663,deprecated,0x157a039b,
0x0de06526dbee89c0e584017818ef460c1c1c561a402ea9a7df56e662229254fb,21043840,1729873895,16,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,19,1874532,11506729836,1758392,4594654,deprecated,0x157a039b,
0xa385bf9b51a86e5d1a6c7d453f90fbf23d7983ac93b6dd3973975b32f1b18390,21043852,1729874039,76,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,146,740390,9389050611,483581,13737068,deprecated,0x157a039b,
0x288f7db812beb058491e8514d7c603479eb54438920651dd84ae83783b863461,21043920,1729874855,46,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,42,518253,11094938372,483563,6940915,deprecated,0x157a039b,
0xabd536b029067f18f906ec144ff55998d5f7a66bf9d6ec956fb4b8a9be5a197a,21043938,1729875071,295,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,6,1876426,11157142226,1759150,2823138,deprecated,0x157a039b,
0xf599de9006013131f0838a808a55934c7bb9ba333100aec3911e2f1a3b23a802,21043943,1729875131,74,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,20,1875570,12117159779,1758348,5726282,deprecated,0x157a039b,
0xc82519e19a3b87d397fee7fc336c7776da25ac26fa538a633b772be419783685,21043948,1729875191,110,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,10,1878866,11458740433,1759138,3042985,deprecated,0x157a039b,
0x4042d4ff2681db866fa63c55cb3eeb66913fc7176d34df369957efe5510f43ec,21043953,1729875251,0,0xdc54436d54679313d1202a4ec28434dcb291add4,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.2680987070249878,Wrapped liquid staked Ether 2.0,wstETH,18,43,628787,10804836554,547389,9236538,deprecated,0xacc446eb,
0x4042d4ff2681db866fa63c55cb3eeb66913fc7176d34df369957efe5510f43ec,21043953,1729875251,0,0x4d72bff1beac69925f8bd12526a39baab069e5da,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000000,1.2680987070249878,Wrapped liquid staked Ether 2.0,wstETH,18,43,628787,10804836554,547389,9236538,deprecated,0xacc446eb,
0x4042d4ff2681db866fa63c55cb3eeb66913fc7176d34df369957efe5510f43ec,21043953,1729875251,0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,43,628787,10804836554,547389,9236538,deprecated,0xacc446eb,
0xa8859adf95f2458caf490bab6336b4186d40a3b8ba7751db91de0618c6893d35,21043954,1729875263,92,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,17,1874570,10947537033,1758428,4482613,deprecated,0x157a039b,
0xf054827078b62a29168ce4745cfc2a412fe8c6b65029caa26b393c72e3ef053e,21043965,1729875395,112,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,22,1878043,9289399960,1758366,6029158,deprecated,0x157a039b,
0x10865861d1751cfb6af1b868a9f4334b48f93345c7f7117b5466156a238864c4,21043989,1729875683,162,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,15,740366,11700000000,483565,6914282,deprecated,0x157a039b,
0x62efcd79013d02a8cf2488d38ef09e3d3f2089ae24c9e12195a984df865f92a3,21043998,1729875791,244,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,27,515950,10754689190,484330,9923707,deprecated,0x157a039b,
0xf3fecf5431c5681c7f8b47933c72c28cc5cedd6705b068057210c1f697df7877,21044022,1729876079,243,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,28,1874539,12978557523,1758398,6842396,deprecated,0x157a039b,
0x1a6c9d7d5014a46ce282995b6cf47d20587d25f3d1f5ad71849e02aa657dabc6,21044167,1729877819,253,0x260915385d24468036789843121e7c8b8c5ab8e9,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,28,806145,9452005354,514618,2942938,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)"
0x8bb8b9785a0e06e0094f507608cd19a78217b8a29ed4332adeaa5abcbe3882e1,21044198,1729878191,325,0x1623b06f4cf1dd0f88b2ccdaeb0811c064c9e982,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,10,1939028,9685443418,1815540,5418017,deprecated,0x6a5f2c4a,
0x61f3462b3f33f90dec348850d168e352a99a6b11a10f46abebc93570d829a680,21044201,1729878227,1622,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,4.1,stETH,stETH,18,124,765534,7982209225,715389,12841002,deprecated,0x157a039b,
0xb50110c9669909511f122e0dc355c44d484929883bf7632bc6f6625fdac82a97,21044438,1729881071,232,0xa3056792b6048895ce7df0e3888fa1cf430cc82c,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,13.2,stETH,stETH,18,154,1692510,12518402220,1584429,15382579,deprecated,0x6a5f2c4a,
0xe3c1af758bb40947b88953d33e9e4f1a056dec0e57c3c17582e2ed27b4ef43c1,21044531,1729882187,90,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,46,2682971,8016441335,1758400,9378086,deprecated,0x157a039b,
0x94e82e5287570b721123354d96e5cd702d20adb65705c88c6bde8328bcf6cfce,21044599,1729883015,549,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,60,515161,7682764027,483583,8465886,deprecated,0x157a039b,
0xf82938e49f0e88ecac551da9b1492784d9be05c5f073220e458603b756b22708,21044600,1729883027,216,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,54,494283,9170022518,484260,5233741,deprecated,0x157a039b,
0x6e9669aad8979a9a3376c125d498b36c51ff38c638d12e35f67caeb9d60b6790,21044603,1729883063,65,0xdd9df31f1dbe1c1815d4df96b2fa5f9694cb3804,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,2.8,stETH,stETH,18,37,700042,8190641739,656982,6455472,deprecated,0x6a5f2c4a,
0xf491aa11ef2edb4a3cdbfef3ed68d318e1a5bf4caf1fcb764598696cdc29e36a,21044698,1729884215,16,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,13,515127,7735338145,483551,3815224,deprecated,0x157a039b,
0x1aa1322e481ddbb778ebed50d3a6be249254a04dad118dccec562c8cd6b2ac22,21044719,1729884467,387,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,9,741485,9400000000,484300,2369058,deprecated,0x157a039b,
0x871d2eec2c601191bab3b0cf0a142a4405cd4f1e24a13f824b7613e3c631bc19,21044781,1729885223,1462,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,32,1878075,7000000000,1758396,8358693,deprecated,0x157a039b,
0xa9fbd30fbd25a7ebaeeb9444560cd2c022a0c5535a974fd38426135a2c7c67e2,21044959,1729887359,9,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,106,516691,5620777028,484399,11269111,deprecated,0x157a039b,
0xc128993b74aa1e3838e3d97a79d3aa6cef1a8ef13f6adef3a613164a5ead2e61,21045104,1729889099,176,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,36,2846312,5077426581,1808990,11279091,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)"
0xc228ca9e313024620ac095b3c5b563f347c1599924340945fdea1a603a5a8ddf,21045142,1729889555,29,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,67,515789,4879286381,483553,7154231,deprecated,0x157a039b,
0x8ed660d3a4bf82103d9d271ebfad46335b41cd96994cdd7d8cc77458cc85b7cb,21045176,1729889963,141,0x878b7eb71d3e41b6eebec49af40bd8207fe9f0d7,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x4d72bff1beac69925f8bd12526a39baab069e5da,13.357306380663207,Wrapped liquid staked Ether 2.0,wstETH,18,0,2839800,7800000000,1821519,1821519,deprecated,0xacc446eb,
0x8ed660d3a4bf82103d9d271ebfad46335b41cd96994cdd7d8cc77458cc85b7cb,21045176,1729889963,141,0x4d72bff1beac69925f8bd12526a39baab069e5da,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000000,13.357306380663207,Wrapped liquid staked Ether 2.0,wstETH,18,0,2839800,7800000000,1821519,1821519,deprecated,0xacc446eb,
0x8ed660d3a4bf82103d9d271ebfad46335b41cd96994cdd7d8cc77458cc85b7cb,21045176,1729889963,141,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,15.8,stETH,stETH,18,0,2839800,7800000000,1821519,1821519,deprecated,0xacc446eb,
0x720959c52af22435e21a1a4efab0b5cabd0e8d1c08383e62ff33e8e064e606a9,21045190,1729890131,63,0x0000000000000000000000000000000000000000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0x4d72bff1beac69925f8bd12526a39baab069e5da,1.5,stETH,stETH,18,53,518210,5944185801,483523,13837470,deprecated,0x157a039b,
