txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0xcc085c1e418ef172289a40c46ba4870d2f4b2f877be17612436553daa82147d7,21122695,1730824739,112,0xa264de1bb2e55f36ec37b691e5f70dd9d04e28c6,0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0x5caad8f4ead664e9644181054531fe26d1efd8fc,84844.93241205,GROK,GROK,9,13,151266,19853421266,70833,1530719,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x60866ef9817dd9b7c352d95dfe8acdb795ff3ae515217d9c5beae42192cdd008,21122695,1730824739,114,0xa264de1bb2e55f36ec37b691e5f70dd9d04e28c6,0x59f4f336bf3d0c49dbfba4a74ebd2a6ace40539a,0x5caad8f4ead664e9644181054531fe26d1efd8fc,297713958023.481,Catcoin,CAT,9,15,144910,19853421266,67655,1644215,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x6f370303f3f66c453fd4a426d9e973c33a70d2d5edc55cd8b625e22df669cb0c,21122696,1730824751,93260,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0x2b022b3dff934b9ff5a82ed949970b129ec555fc,14847.863172108,GROK,GROK,9,10,171220,19618886654,146593,1359696,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x6f370303f3f66c453fd4a426d9e973c33a70d2d5edc55cd8b625e22df669cb0c,21122696,1730824751,93260,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0x716bef27aaa6932d8d235e3b2535af895717a08f,34998.534619971,GROK,GROK,9,10,171220,19618886654,146593,1359696,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x6f370303f3f66c453fd4a426d9e973c33a70d2d5edc55cd8b625e22df669cb0c,21122696,1730824751,93260,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x8390a1da07e376ef7add4be859ba74fb83aa02d5,0x9e21662158d89cd4a6b81625e5e7d65bc72985f1,34998.534619971,GROK,GROK,9,10,171220,19618886654,146593,1359696,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe63ac063a7ad4a92ad0aa4a78ff9b5549329e7a02b03ce00eeffa6694e193562,21122697,1730824763,93261,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x59f4f336bf3d0c49dbfba4a74ebd2a6ace40539a,0x2b022b3dff934b9ff5a82ed949970b129ec555fc,52099942654.10918,Catcoin,CAT,9,16,171652,19618886654,141059,3088735,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe63ac063a7ad4a92ad0aa4a78ff9b5549329e7a02b03ce00eeffa6694e193562,21122697,1730824763,93261,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x59f4f336bf3d0c49dbfba4a74ebd2a6ace40539a,0x716bef27aaa6932d8d235e3b2535af895717a08f,122807007684.68593,Catcoin,CAT,9,16,171652,19618886654,141059,3088735,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xe63ac063a7ad4a92ad0aa4a78ff9b5549329e7a02b03ce00eeffa6694e193562,21122697,1730824763,93261,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x59f4f336bf3d0c49dbfba4a74ebd2a6ace40539a,0x9e21662158d89cd4a6b81625e5e7d65bc72985f1,122807007684.68593,Catcoin,CAT,9,16,171652,19618886654,141059,3088735,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xbdfc236f2cf50ce0d009fd6e6ce552e4ffa4b1750163fed870819857fa4af279,21122781,1730825771,161,0x30445187096af9960ea2a2aa12eb57d1ff2dc55d,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,0x5caad8f4ead664e9644181054531fe26d1efd8fc,407.8644770920868,NodeAI,GPU,18,91,89380,13833410307,54787,11884882,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
0x1da961192405725f97dce6ae825ab675ecd0003115af3662ecbccdd10fe01e53,21122782,1730825783,93268,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,0x2b022b3dff934b9ff5a82ed949970b129ec555fc,71.3762834911152,NodeAI,GPU,18,11,171652,19484551241,118455,3491044,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x1da961192405725f97dce6ae825ab675ecd0003115af3662ecbccdd10fe01e53,21122782,1730825783,93268,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,0x716bef27aaa6932d8d235e3b2535af895717a08f,168.2440968004858,NodeAI,GPU,18,11,171652,19484551241,118455,3491044,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0x1da961192405725f97dce6ae825ab675ecd0003115af3662ecbccdd10fe01e53,21122782,1730825783,93268,0x5caad8f4ead664e9644181054531fe26d1efd8fc,0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,0x9e21662158d89cd4a6b81625e5e7d65bc72985f1,168.2440968004858,NodeAI,GPU,18,11,171652,19484551241,118455,3491044,deprecated,0xcaa5c23f,multicall(tuple[] calls)
0xfa8ff7d1919e778d629d3e7799c2ffbe33f614bcac44910a663fe8dec3d50da9,21122846,1730826563,164,0x30445187096af9960ea2a2aa12eb57d1ff2dc55d,0x1e0b2992079b620aa13a7c2e7c88d2e1e18e46e9,0x5caad8f4ead664e9644181054531fe26d1efd8fc,19428.1785454049,KOMPETE Token,KOMPETE,10,192,98994,14824194935,61196,16306127,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)"
