txHash,blockNumber,timeStamp,nonce,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName
0x068678f7fbac410b67a9449a7657dd54d24f605d9189283dffe7cd893cff1c61,19669566,1713288923,3,0x28a328c327307ab1b180327234fdd2a290efc6de,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,4.0,Tether USD,USDT,6,69,554022,15929850868,479835,4262301,deprecated,0x30dedc57,"swapAndForwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x068678f7fbac410b67a9449a7657dd54d24f605d9189283dffe7cd893cff1c61,19669566,1713288923,3,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6491f4cf9c084ef8fc055eaaf735bdceccf69370,4.0,Tether USD,USDT,6,69,554022,15929850868,479835,4262301,deprecated,0x30dedc57,"swapAndForwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x068678f7fbac410b67a9449a7657dd54d24f605d9189283dffe7cd893cff1c61,19669566,1713288923,3,0x6491f4cf9c084ef8fc055eaaf735bdceccf69370,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,3.982337,USDC,USDC,6,69,554022,15929850868,479835,4262301,deprecated,0x30dedc57,"swapAndForwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x068678f7fbac410b67a9449a7657dd54d24f605d9189283dffe7cd893cff1c61,19669566,1713288923,3,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,3.982337,USDC,USDC,6,69,554022,15929850868,479835,4262301,deprecated,0x30dedc57,"swapAndForwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0xe97e6fdc9d0a6250caf874abf4393bcf77cdb3e73c39dbf7d988a995dc9f000f,19670830,1713304223,63,0x16bd77fd51516f787ee42b6a4f0fe23aa5cdb8cb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,15.0,USDC,USDC,6,171,290613,8956541846,227019,17153408,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0xe97e6fdc9d0a6250caf874abf4393bcf77cdb3e73c39dbf7d988a995dc9f000f,19670830,1713304223,63,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,15.0,USDC,USDC,6,171,290613,8956541846,227019,17153408,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x87c4b551d26ecd9420b997d6549cdd1cdc3057e801ddbc2f39c8eeccddba4469,19672207,1713320891,628,0x3563868a116b5ba230620bb1d71686c97e5d0575,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,501.0,USDC,USDC,6,142,298309,8063427531,233079,9533646,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x87c4b551d26ecd9420b997d6549cdd1cdc3057e801ddbc2f39c8eeccddba4469,19672207,1713320891,628,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,501.0,USDC,USDC,6,142,298309,8063427531,233079,9533646,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x0dda5c4ccec6d51e81d456d96cc693292369431b4cafe6cf8390131393ed3e31,19672780,1713327791,0,0x72a2142bb7b77ad85d10a066776ad9c03de706ab,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,2532.0,USDC,USDC,6,106,298305,6669046281,233076,12181246,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x0dda5c4ccec6d51e81d456d96cc693292369431b4cafe6cf8390131393ed3e31,19672780,1713327791,0,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,2532.0,USDC,USDC,6,106,298305,6669046281,233076,12181246,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x42c5cb5bf8acf05f313be2f629990ef3a7e3f12f81aa76dd9fa2f239520ac6b1,19678145,1713392579,2015,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,4490.707157,USDC,USDC,6,149,705660,9188405661,400106,11781734,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x42c5cb5bf8acf05f313be2f629990ef3a7e3f12f81aa76dd9fa2f239520ac6b1,19678145,1713392579,2015,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,4490.707157,USDC,USDC,6,149,705660,9188405661,400106,11781734,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0xa27a4a932d000ae2d9d6c17210c4d5ce3212d495bcd60dcddb5478edad90fff9,19678420,1713395903,468,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,500.0,USDC,USDC,6,175,280901,7157514486,219370,15916887,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0xa27a4a932d000ae2d9d6c17210c4d5ce3212d495bcd60dcddb5478edad90fff9,19678420,1713395903,468,0x138c7a259e6c203f17d946fd5c5636d8eafe82e1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,500.0,USDC,USDC,6,175,280901,7157514486,219370,15916887,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x9e7914aa00ea18fd4170fdd568c287ff7f37c84bb0a48ebfc58067bc1ab651e1,19678689,1713399167,1,0xeaaaf6ae878df531e705c81bd06011df86fc1317,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,110.0,USDC,USDC,6,129,298321,7691929787,233088,9136112,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x9e7914aa00ea18fd4170fdd568c287ff7f37c84bb0a48ebfc58067bc1ab651e1,19678689,1713399167,1,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,110.0,USDC,USDC,6,129,298321,7691929787,233088,9136112,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0xb67ac1f717d04bb8f89ac58803fd5b0daad17bde05f85f19c7e7657f897dff9a,19680056,1713415691,964,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,108.630662,USDC,USDC,6,66,462667,8120624463,389819,5253867,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0xb67ac1f717d04bb8f89ac58803fd5b0daad17bde05f85f19c7e7657f897dff9a,19680056,1713415691,964,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,108.630662,USDC,USDC,6,66,462667,8120624463,389819,5253867,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x0fddaab2290242a92c7270e5768155d3e774b04ef50046bc2f13eb7849bae717,19680094,1713416147,11,0x3064e031afdb4da19819cab98c1fb79e2b9ed079,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,10000.0,USDC,USDC,6,50,295630,9383897338,233079,5752633,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x0fddaab2290242a92c7270e5768155d3e774b04ef50046bc2f13eb7849bae717,19680094,1713416147,11,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,10000.0,USDC,USDC,6,50,295630,9383897338,233079,5752633,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0xa105bbdc10c8afd5411e25fd3bfd841e95a2ba6146be311d60212cbf6cd71b08,19680194,1713417371,12,0x3064e031afdb4da19819cab98c1fb79e2b9ed079,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,20000.0,USDC,USDC,6,24,278530,9835548210,219399,4462023,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0xa105bbdc10c8afd5411e25fd3bfd841e95a2ba6146be311d60212cbf6cd71b08,19680194,1713417371,12,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,20000.0,USDC,USDC,6,24,278530,9835548210,219399,4462023,deprecated,0xe4269fc4,"forwardERC20(address tokenIn,uint256 amountIn,tuple permitParams,address mayanProtocol,bytes protocolData)"
0x5ac2946e9d8cc3bb56e980880a6d0ce2b7f4e50b6ac3778c62325616695a8eac,19680301,1713418655,371,0x111111125421ca6dc452d289314280a0f8842a65,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,6364.906547,USDC,USDC,6,1,670663,9120310851,550548,690811,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x5ac2946e9d8cc3bb56e980880a6d0ce2b7f4e50b6ac3778c62325616695a8eac,19680301,1713418655,371,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf18f923480dc144326e6c65d4f3d47aa459bb41c,6364.906547,USDC,USDC,6,1,670663,9120310851,550548,690811,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
0x0287d040d4408de4d4c9a80707df3d82a27aeb62abc712f468accd3031e9e973,19680629,1713422591,2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd814d5f567cd4d130b4087c9b7d6d18d29bccac2,7853.053662,USDC,USDC,6,125,471053,12504478316,400704,12237295,deprecated,0xfa74fd43,"swapAndForwardEth(uint256 amountIn,address swapProtocol,bytes swapData,address middleToken,uint256 minMiddleAmount,address mayanProtocol,bytes mayanData)"
