id,symbol,name,current_price,market_cap,contract_address,decimals
bitcoin,btc,Bitcoin,77041.0,1542250740754,N/A,
ethereum,eth,Ethereum,2279.59,275094218066,N/A,
tether,usdt,Tether,0.999529,189480373199,0xdac17f958d2ee523a2206206994597c13d831ec7,6.0
ripple,xrp,XRP,1.38,84819606128,N/A,
binancecoin,bnb,BNB,617.04,83147309861,0xb8c77482e45f1f44de1745f52c74426c631bdd52,
usd-coin,usdc,USDC,0.99964,77165807667,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,
solana,sol,Solana,83.85,48292135290,N/A,
tron,trx,TRON,0.3259,30888303702,N/A,
figure-heloc,figr_heloc,Figure Heloc,1.031,17799756110,N/A,
dogecoin,doge,Dogecoin,0.108798,16749492786,N/A,
whitebit,wbt,WhiteBIT Coin,57.74,12321974200,0x925206b8a707096ed26ae47c84747fe0bb734f59,8.0
usds,usds,USDS,0.999761,11162609904,0xdc035d45d973e3ec169d2276ddab16f1e407384f,
hyperliquid,hype,Hyperliquid,40.35,9616530833,N/A,
leo-token,leo,LEO Token,10.31,9497049115,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,18.0
cardano,ada,Cardano,0.249084,9207222664,N/A,
bitcoin-cash,bch,Bitcoin Cash,444.34,8895612749,N/A,
monero,xmr,Monero,382.7,7056022214,N/A,
chainlink,link,Chainlink,9.16,6659695478,0x514910771af9ca656af840dff83e8264ecf986ca,
zcash,zec,Zcash,348.31,5811808138,N/A,
canton-network,cc,Canton,0.150695,5788928437,N/A,
stellar,xlm,Stellar,0.159521,5319329348,N/A,
usd1-wlfi,usd1,USD1,0.99973,4497590269,0x8d0d000ee44948fc98c9b98a4fa4921476f08b0d,
dai,dai,Dai,0.999716,4393164588,0x6b175474e89094c44da98b954eedeac495271d0f,18.0
litecoin,ltc,Litecoin,55.38,4269155197,N/A,
memecore,m,MemeCore,3.19,4139282815,N/A,
avalanche-2,avax,Avalanche,9.13,3942137384,N/A,
ethena-usde,usde,Ethena USDe,0.999053,3895238556,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,
hedera-hashgraph,hbar,Hedera,0.088105,3821023715,N/A,
rain,rain,Rain,0.00789281,3775829745,N/A,
shiba-inu,shib,Shiba Inu,6.37e-06,3746774120,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,
sui,sui,Sui,0.917398,3626556517,N/A,
paypal-usd,pyusd,PayPal USD,0.99983,3382711543,0x6c3ea9036406852006290770bedfcaba0e23a0e8,
the-open-network,ton,Toncoin,1.33,3368693327,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,
crypto-com-chain,cro,Cronos,0.068259,2973606891,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8.0
hashnote-usyc,usyc,Circle USYC,1.12,2920195380,0x136471a34f6ef19fe571effc1ca711fdb8e49f2b,
tether-gold,xaut,Tether Gold,4598.83,2724748381,0x68749665ff8d2d112fa859aa293f07a622782f38,6.0
global-dollar,usdg,Global Dollar,0.999809,2462789553,0xe343167631d89b6ffc58b88d6b7fb0228795491d,6.0
bittensor,tao,Bittensor,253.76,2436439089,N/A,
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2282337755,0x7712c34205737192402172409a8f7ccef8aa2aec,6.0
pax-gold,paxg,PAX Gold,4600.99,2204951538,0x45804880de22913dafe09f4980848ece6ecbaf78,18.0
mantle,mnt,Mantle,0.630457,2081898724,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,
polkadot,dot,Polkadot,1.21,2039623856,0x8d010bf9c26881788b4e6bf5fd1bdc358c8f90b8,
uniswap,uni,Uniswap,3.22,2039009633,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,
world-liberty-financial,wlfi,World Liberty Financial,0.06098,1936966392,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,18.0
sky,sky,Sky,0.08143,1888713195,0x56072c95faa701256059aa122697b133aded9279,
pi-network,pi,Pi Network,0.180385,1869513374,N/A,
falcon-finance,usdf,Falcon USD,0.996913,1783997342,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,18.0
okb,okb,OKB,83.12,1745401174,0x75231f58b43240c9718dd58b4967c5114342a86c,18.0
near,near,NEAR Protocol,1.31,1692125119,N/A,
aster-2,aster,Aster,0.653909,1685050038,N/A,
pepe,pepe,Pepe,3.96e-06,1663320668,0x6982508145454ce325ddbe47a25d4ec3d2311933,
htx-dao,htx,HTX DAO,1.83e-06,1655807989,0x61ec85ab89377db65762e234c946b5c25a56e99e,
usdd,usdd,USDD,0.999666,1462897400,0x4f8e5de400de08b164e7421b3ee387f461becd1a,
ripple-usd,rlusd,Ripple USD,0.999687,1457079994,0x8292bb45bf1ee4d140127049757c2e0ff06317ed,
aave,aave,Aave,93.15,1413814182,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18.0
bitget-token,bgb,Bitget Token,2.01,1405403560,0x54d2252757e1672eead234d27b1270728ff90581,
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.13,1325121684,0x96f6ef951840721adbf46ac996b59e0235cb985c,
internet-computer,icp,Internet Computer,2.39,1320639863,0x00f3c42833c3170159af4e92dbb451fb3f708917,
janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.1,1318633472,N/A,
bfusd,bfusd,BFUSD,0.998502,1318152646,N/A,
ethereum-classic,etc,Ethereum Classic,8.39,1313080614,N/A,
ondo-finance,ondo,Ondo,0.267773,1304270045,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,
morpho,morpho,Morpho,1.99,1204414072,0x58d97b57bb95320f9a05dc918aef65434969c2b2,
kucoin-shares,kcs,KuCoin,8.49,1142163629,N/A,
united-stables,u,United Stables,0.999843,1027700081,0xce24439f2d9c6a2289f741120fe202248b666666,
polygon-ecosystem-token,pol,POL (ex-MATIC),0.094573,1006042004,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,18.0
